"census_tract_code","year","arrests_B","arrests_W","arrests_total","state","county","ct_pop","ct_white","ct_black","pct_white","pct_black","arrest_pct_tot","arrest_pct_B","arrest_pct_W","pop_pct_tot","pop_pct_B","pop_pct_W","sir_tot","sir_B","sir_W","RE_tot","RE_B","RE_W"
10600,2018,110,146,256,37,129,4147,3580,229,0.863274656,0.055220641,100,42.9910191331511,57.048028114018,6.17298835330713,48.0139676996945,4.0780983771403,0.100008694020391,4.22665867467139,1.86434217711731,0.793004214763641,0.550161004066467,0.771190881729126
10700,2010,57,108,165,37,129,4314,2354,1312,0.545665276,0.304126101,100,34.5850999394307,65.4754694124773,3.82466794928258,4.34418108375886,4.58774053778514,0.100005829223925,0.383495841206193,2.09596660807444,-1.47500860691071,-2.10383033752441,-1.14112401008606
10700,2011,56,59,115,37,129,4333,2374,1530,0.547888299,0.353104085,100,48.74022589053,51.3466550825369,2.65398906094944,3.6598915103588,2.48515226822796,0.100004080686048,0.323115557376465,1.13539103330998,-1.49711084365845,-2.26573514938354,-1.13638687133789
10700,2012,69,76,147,37,129,4100,2401,1373,0.585609756,0.334878049,100,46.974847042828,51.7335146159075,3.58527840784371,5.0251256281407,3.16521594269293,0.100004935689664,0.443620057040424,1.44612220164062,0.709738433361053,0.443200170993805,0.651411235332489
10700,2013,68,69,137,37,129,4314,2388,1631,0.553546592,0.378071395,100,49.671772428884,50.401167031364,3.17563338819221,4.16896572864938,2.88932624261966,0.10000484002229,0.368071119574401,1.32006048534444,-0.349576383829117,0.77797544002533,-0.34785071015358
10700,2014,66,79,145,37,129,4263,2206,1806,0.517475956,0.42364532,100,45.5547898001378,54.5141281874569,3.40128075813375,3.65428270859864,3.58098000997235,0.100005062091473,0.322645609219201,1.63580715472534,-1.40730941295624,1.41637027263641,-1.32318139076233
10700,2015,84,89,173,37,129,4435,2314,1761,0.521758737,0.397068771,100,48.5846331600231,51.473136915078,3.90070122432414,4.76974618136392,3.84598764098354,0.100006283279531,0.421127958142755,1.75702987246501,1.85192096233368,-0.222716256976128,1.89490270614624
10700,2016,84,88,174,37,129,4409,2350,1667,0.53300068,0.37809027,100,48.3055715106261,50.6031016657094,3.94638361570388,5.03868994061544,3.74452150972299,0.100006282550683,0.444862249316996,1.71072592807749,1.14798879623413,0.824859917163849,0.899697661399841
10700,2017,95,131,226,37,129,4511,2485,1674,0.550875637,0.371092884,100,42.0610349402919,57.9831932773109,5.00986455631664,5.67469087868108,5.27141764918917,0.100008348874254,0.501015290799329,2.40855406087915,-0.588075578212738,0.507118463516235,-0.479011535644531
10700,2018,102,148,251,37,129,4593,2377,1910,0.517526671,0.415850207,100,40.6610911987256,58.9804858622063,5.46471881735647,5.34003455316476,6.22607378738799,0.100009440974414,0.471495915252978,2.84451187742356,2.79186606407166,3.53692984580994,2.67049932479858
